country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,new_confirmed_cases,new_probable_cases,total_deaths,new_deaths
Central African Republic,CAF,African Region,21/05/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,28/05/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,04/06/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,11/06/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,18/06/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,25/06/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,02/07/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,09/07/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,16/07/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,23/07/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,30/07/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,06/08/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,13/08/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,20/08/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,27/08/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,03/09/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,10/09/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,17/09/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,24/09/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,01/10/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,08/10/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,15/10/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,22/10/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,29/10/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,05/11/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,12/11/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,19/11/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,26/11/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,03/12/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,10/12/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,17/12/2023,45,0,0,0,1,0
Central African Republic,CAF,African Region,24/12/2023,46,0,1,0,1,0
Central African Republic,CAF,African Region,31/12/2023,47,0,1,0,1,0
Central African Republic,CAF,African Region,07/01/2024,47,0,0,0,1,0
Central African Republic,CAF,African Region,14/01/2024,47,0,0,0,1,0
Central African Republic,CAF,African Region,21/01/2024,51,0,4,0,1,0
Central African Republic,CAF,African Region,28/01/2024,52,0,1,0,1,0
Central African Republic,CAF,African Region,04/02/2024,53,0,1,0,1,0
Central African Republic,CAF,African Region,11/02/2024,54,0,1,0,1,0
Central African Republic,CAF,African Region,18/02/2024,57,0,3,0,1,0
Central African Republic,CAF,African Region,25/02/2024,61,0,4,0,1,0
Central African Republic,CAF,African Region,03/03/2024,61,0,0,0,1,0
Central African Republic,CAF,African Region,10/03/2024,61,0,0,0,1,0
Central African Republic,CAF,African Region,17/03/2024,61,0,0,0,1,0
Central African Republic,CAF,African Region,24/03/2024,63,0,2,0,1,0
Central African Republic,CAF,African Region,31/03/2024,65,0,2,0,1,0
Central African Republic,CAF,African Region,07/04/2024,66,0,1,0,1,0
Central African Republic,CAF,African Region,14/04/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,21/04/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,28/04/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,05/05/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,12/05/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,19/05/2024,66,0,0,0,1,0
Central African Republic,CAF,African Region,26/05/2024,66,0,0,0,1,0
